,Domain_Name,Org_Number,Company,Reg_Date,Website
123,norskbergindustri.no,971259248,NORSK BERGINDUSTRI,1995-02-20,norskbergindustri.no
124,norskbildelkatalog.no,984078897,NORSK BILDELKATALOG SA,2002-01-08,norskbildelkatalog.no
125,norskboreteknikk.no,987199318,NORSK BORETEKNIKK AS,2004-09-02,norskboreteknikk.no
126,norskboxerklubb.no,992040165,NORSK BOXERKLUBB,2008-01-09,norskboxerklubb.no
127,norske-grafikere.no,971435828,NORSKE GRAFIKERE,1995-02-20,norske-grafikere.no
128,norske-redningshunder.no,993606537,NORSKE REDNINGSHUNDER HÅLOGALAND DISTRIKT,2009-02-21,norske-redningshunder.no
129,norske-redningshunder.no,993527475,NORSKE REDNINGSHUNDER SOGN OG FJORDANE DISTRIKT,2009-01-14,norske-redningshunder.no
130,norske-redningshunder.no,993612316,NORSKE REDNINGSHUNDER VESTERÅLEN LOKALLAG,2009-03-11,norske-redningshunder.no
131,norskedansekunstnere.no,916329148,NYDANS OSLO AS,2015-12-02,norskedansekunstnere.no
132,norskedansekunstnere.no,971480203,NORSKE DANSEKUNSTNERE FORBUNDET FOR DANSERE KOREOGRAFER OG PEDAGOGER,1995-02-20,norskedansekunstnere.no
133,norskegrafikeresverksted.no,990497451,FORENINGEN NORSKE GRAFIKERES VERKSTED,2006-11-15,norskegrafikeresverksted.no
134,norskegrafikeresverksted.no,995935457,STAMPA CANTABILE Marianne Gihle,2010-10-11,norskegrafikeresverksted.no
135,norskehus.no,913601742,NHB VEST AS,2014-05-12,norskehus.no
136,norskehus.no,976960823,NORSKE HUS BOLIGSYSTEM AS,1996-12-05,norskehus.no
137,norskekunsthandverkere.no,971278153,NORSKE KUNSTHÅNDVERKERE,1995-02-20,norskekunsthandverkere.no
138,norskekunsthandverkere.no,989648381,NORSKE KUNSTHÅNDVERKERE MIDT-NORGE,2006-04-06,norskekunsthandverkere.no
139,norskekunsthandverkere.no,991677682,NORSKE KUNSTHÅNDVERKERE VIKEN,2007-10-03,norskekunsthandverkere.no
140,norskenaturopplevelser.no,997051742,NORSKE NATUROPPLEVELSER AS,2011-07-02,norskenaturopplevelser.no
141,norskeparker.no,997454081,NORSKE PARKER,2012-07-12,norskeparker.no
142,norskesanserom.no,815670752,NORSKE SANSEROM,2015-11-02,norskesanserom.no
143,norskeservicehunder.no,990075034,NORSKE SERVICEHUNDER,2006-07-18,norskeservicehunder.no
144,norsketennisveteraner.no,995576708,NORSKE TENNISVETERANER,2010-06-10,norsketennisveteraner.no
145,norskevalueringsforening.no,994587072,NORSK EVALUERINGSFORENING,2009-10-03,norskevalueringsforening.no
146,norskfolkehjelp.no,962219993,NORSK FOLKEHJELP GRENLAND,1997-02-25,norskfolkehjelp.no
147,norskfolkemuseum.no,995716496,NORSK FARMASIHISTORISK MUSEUM,2010-07-27,norskfolkemuseum.no
148,norskfolkemuseum.no,970010815,NORSK FOLKEMUSEUM,1995-02-20,norskfolkemuseum.no
149,norskforstehjelpsrad.no,985076383,NORSK FØRSTEHJELPSRÅD,2002-11-20,norskforstehjelpsrad.no
150,norskfrieserforbund.no,992689021,NORSK FRIESER FORBUND,2008-06-04,norskfrieserforbund.no
151,norskfrisorskole.no,981926749,NORSK FRISØR OG HUDPLEIESKOLE AS,2000-04-18,norskfrisorskole.no
152,norskhavre.no,992842067,NORSK HAVREFORENING,2009-02-19,norskhavre.no
153,norskhyttelag.no,998746167,NORSK HYTTELAG AS,2012-09-15,norskhyttelag.no
154,norskindustri.no,971433213,TEKOS KOMPETANSE- OG UTVIKLINGSFOND,1995-02-20,norskindustri.no
155,norskindustri.no,952151266,NORSK INDUSTRI,1995-02-20,norskindustri.no
156,norskinteraktiv.no,987903023,NORSK INTERAKTIV AS,2005-02-24,norskinteraktiv.no
157,norskinteriorskole.no,980371042,NORSK INTERIØRSKOLE AS,1999-01-11,norskinteriorskole.no
158,norskkraft.no,993890731,NORSK KRAFT AS,2009-04-04,norskkraft.no
159,norsklaft.no,990655782,NORSK LAFT-BRANSJEFORENINGEN FOR NORSKE TØMMERHUSPRODUSENTER,2007-11-20,norsklaft.no
160,norsklektorlag.no,879495512,NORSK LEKTORLAG,1998-01-16,norsklektorlag.no
161,norsklimtre.no,964431744,NORSK LIMTRE AS,1995-03-12,norsklimtre.no
162,norsklos.no,913968336,NORSK LOSFORBUND,2014-08-05,norsklos.no
163,norskmarsvinklubb.no,998075246,NORSK MARSVINKLUBB,2012-03-26,norskmarsvinklubb.no
164,norskmaseratiklubb.no,986031936,NORSK MASERATI KLUBB,2003-09-18,norskmaseratiklubb.no
165,norskmassivtre.no,992416440,NORSK MASSIVTRE AS,2008-03-08,norskmassivtre.no
166,norskmaxiklubb.no,985996458,NORSK MAXIKLUBB,2003-09-02,norskmaxiklubb.no
167,norskmedia.no,965007792,NORSK MEDIA V/ENGEN,1995-02-20,norskmedia.no
168,norskmusikkskole.no,984742487,NORSK MUSIKKSKOLE DA,2002-08-14,norskmusikkskole.no
169,norsknamnelag.no,979686560,NORSK NAMNELAG,1998-06-25,norsknamnelag.no
170,norskpsykiatriskforening.no,971480254,NORSK PSYKIATRISK FORENING,1995-02-20,norskpsykiatriskforening.no
171,norskregnskap.no,993559342,SAGA PARK SAMEIE,2009-01-28,norskregnskap.no
172,norskregnskap.no,982339669,NORSK REGNSKAP AS,2000-09-08,norskregnskap.no
173,norskregnskap.no,952584006,NORSK REGNSKAP OSLO AS,1995-02-19,norskregnskap.no
174,norsksmerteforening.no,987877855,NORSK SMERTEFORENING,2005-03-12,norsksmerteforening.no
175,norskstorhusholdning.no,975377644,NORSK STORHUSHOLDNING AS,1995-09-26,norskstorhusholdning.no
176,norskstrikkeforbund.no,914420962,NORSK STRIKKEFORBUND,2014-11-07,norskstrikkeforbund.no
177,norsktest.no,983509487,NORSK TEST AS,2001-07-05,norsktest.no
178,norsktinn.no,892042152,AADNE TRADING AS,2007-12-12,norsktinn.no
179,norsktrafikksikring.no,915024912,NORSK TRAFIKKSIKRING AS,2015-03-06,norsktrafikksikring.no
180,norsktriumphklubb.no,887443572,NORSK TRIUMPHKLUBB,2004-11-23,norsktriumphklubb.no
181,norskurkorn.no,812358812,NORSK URKORN AS,2013-08-31,norskurkorn.no
182,norskvann.no,986273026,NORSK VANN BA,2004-01-05,norskvann.no
183,norskvarmblod.no,983748368,NORSK VARMBLOD,2001-10-20,norskvarmblod.no
184,norskvektertjeneste.no,966481935,NORSK VEKTERTJENESTE Rolf Thorkildsen,1995-02-20,norskvektertjeneste.no
185,norskvt.no,991417028,NORSK VERKTØYTEKNIKK AS,2007-10-16,norskvt.no
186,norsol.no,996427811,SOLSKJERMING INNLANDET AS,2011-02-08,norsol.no
187,norsuncorp.no,989186493,NORSUN AS,2005-12-30,norsuncorp.no
188,norsup.no,995867540,NORGES STAND UP PADLEKLUBB (NORSUP),2010-08-28,norsup.no
189,norsvin.no,983568823,GENINOVA AS,2001-08-04,norsvin.no
190,norsvin.no,975726797,NORSVIN TELEMARK,1996-03-07,norsvin.no
191,norsvin.no,956971322,NORSVIN SA,1995-02-19,norsvin.no
192,nortea.no,986458026,SCHULLER NORTEA,2004-01-19,nortea.no
193,orkdalsmenighetene.no,976998715,ORKLAND SOKN,1997-01-27,orkdalsmenighetene.no
194,orkester.no,971518693,DE UNGES ORKESTERFORBUND,1995-02-20,orkester.no
195,orkester.no,979537883,DE UNGES ORKESTERFORBUND NORD-NORGE,1999-02-17,orkester.no
196,orkester.no,977363535,DE UNGES ORKESTERFORBUND OSLO,1997-04-04,orkester.no
197,orklahealth.no,986519904,ORKLA HEALTH AS,2004-02-03,orklahealth.no
198,orklareiser.no,988581852,ORKLAREISER AS,2005-08-31,orklareiser.no
199,orland-sparebank.no,937901925,ØRLAND SPAREBANK,1995-03-12,orland-sparebank.no
200,ormoyatennis.no,991116192,ORMØYA TENNISKLUBB,2007-05-03,ormoyatennis.no
201,ormsund.no,983796621,ORMSUND ROKLUB,2001-12-03,ormsund.no
202,orn-horten.no,971315962,FOTBALLKLUBBEN ØRN HORTEN,1995-02-20,orn-horten.no
203,orreil.no,970115269,ORRE IDRETTSLAG,1995-02-20,orreil.no
204,orskogsparebank.no,837900212,ØRSKOG SPAREBANK,1995-02-19,orskogsparebank.no
205,orstaskisenter.no,911683725,ØRSTA SKISENTER AS,1995-03-12,orstaskisenter.no
206,ortoptist.no,990233160,NORSKE ORTOPTISTERS FORENING,2006-09-27,ortoptist.no
207,oru.no,979720300,GARDERMOREGIONEN INTERKOMMUNALT POLITISK RÅD,1998-03-24,oru.no
208,osaeroklubb.no,979595638,OS AERO KLUBB,1998-02-12,osaeroklubb.no
209,osbadet.no,990022216,OS IDRETTSPARK BJØRNAFJORDEN KF,2006-07-22,osbadet.no
210,oscdg.no,918796924,OSLO SCOTTISH COUNTRY DANCE GROUP,2017-05-22,oscdg.no
211,oseana.no,996347435,OSEANA KUNST- OG KULTURSENTER BJØRNAFJORDEN KF,2011-03-26,oseana.no
212,osebergmiljo.no,913507487,OSEBERG MILJØ AS,2014-04-15,osebergmiljo.no
213,osebergvenner.no,998319838,OSEBERGSKIPETS VENNEFORENING,2012-06-13,osebergvenner.no
214,oselektro.no,933668517,OS ELEKTRO AS,1995-02-19,oselektro.no
215,oselvarlaget.no,980610241,OSELVARLAGET,1999-04-30,oselvarlaget.no
216,osenfjellstyre.no,975733505,OSEN FJELLSTYRE,1996-03-07,osenfjellstyre.no
217,osf.no,938726582,OSLO SANITETSFORENING,1995-02-20,osf.no
218,osil.no,971579234,ØYSTRE SLIDRE IDRETTSLAG,1995-02-20,osil.no
219,anker.oslo.no,994882813,ANKER STI HOLDING AS,2009-12-15,anker.oslo.no
220,anker.oslo.no,896203452,KØBENHAVNGATA 10 AS,2010-11-18,anker.oslo.no
221,anker.oslo.no,991797602,SANDAKERVEIEN 76 AS,2007-12-22,anker.oslo.no
222,anker.oslo.no,966891750,STIFTELSEN ANKER STUDENTBOLIGER OG HOTEL (ANKER STI),1995-02-20,anker.oslo.no
223,cas.oslo.no,971543671,SENTER FOR GRUNNFORSKNING VED DET NORSKE VIDENSKAPS-AKADEMI,1995-02-20,cas.oslo.no
224,pol.oslo.no,912597288,POL HOLDING AS,2013-10-17,pol.oslo.no
225,pol.oslo.no,912671941,T/A POL AS,2013-11-02,pol.oslo.no
226,oslo-brannsikring.no,985522065,OSLO BRANNSIKRING AS,2003-03-20,oslo-brannsikring.no
227,oslo-musikk.no,998585481,OSLO PRIVATE MUSIKKSKOLE AS,2012-07-07,oslo-musikk.no
228,recovernordic.no,995761440,RECOVER AS,2010-08-12,recovernordic.no
229,recreo.no,991976086,RECREO NORGE AS,2007-11-22,recreo.no
230,redcord.no,960304977,REDCORD AS,1995-03-12,redcord.no
231,redcross.no,993527572,GJØVIK RØDE KORS,2009-01-14,redcross.no
232,redcross.no,971461268,LYNGDAL RØDE KORS,1995-02-20,redcross.no
233,redcross.no,979449690,VATS RØDE KORS HJELPEKORPS,2008-01-16,redcross.no
234,redcross.no,986377131,NORGES RØDE KORS HUMANITÆRE FOND,2004-01-07,redcross.no
235,rederi.no,971436190,NORGES REDERIFORBUND,1995-02-20,rederi.no
236,redmedia.no,976568133,RED DENTSU X AS,1996-07-08,redmedia.no
237,redwhite.no,982214513,RED & WHITE AS,2000-07-19,redwhite.no
238,reeltime.no,884829992,REELTIME INTERACTIVE AS,2002-09-13,reeltime.no
239,refabrygge.no,891906412,REFA BRYGGE AS,2007-11-10,refabrygge.no
240,refleksolog-annette.no,990737991,NERVUSKLINIKKEN ANNETTE LØNO,2007-01-23,refleksolog-annette.no
241,refleksprofil.no,989627376,REFLEKSPROFIL AS,2006-03-28,refleksprofil.no
242,reform.no,984727240,REFORM - RESSURSSENTER FOR MENN,2002-09-19,reform.no
243,regelradet.no,916195613,REGELRÅDET,2015-11-07,regelradet.no
